time,haccel_trapz_int1,haccel_trapz_int2,haccel_peak_int3,haccel_peak_int4,vaccel_trapz_int1,vaccel_trapz_int2,vaccel_peak_int3,vaccel_peak_int4
0,4.828973671188545e-05,1.3221768516434125e-05,0.076,0.40800000000000003,3.068661072484709e-05,4.3124333365381424e-05,0.188,0.36
10,4.5871460896141126e-05,1.4742108702000545e-05,0.14400000000000002,0.352,3.219181522642928e-05,3.9592852692392826e-05,0.20400000000000001,0.376
20,4.3820474778788737e-05,1.403826801672964e-05,0.07200000000000001,0.36,3.2383272026418906e-05,4.066804719197709e-05,0.216,0.364
30,4.762588273130512e-05,1.567693470112143e-05,0.14400000000000002,0.40800000000000003,3.446202158014794e-05,3.7326548345109514e-05,0.192,0.41200000000000003
40,4.7226614724462046e-05,1.5305793312951812e-05,0.14400000000000002,0.41200000000000003,3.21263700845519e-05,3.960663732278745e-05,0.20400000000000001,0.4
50,4.65809308504223e-05,1.4228328629309358e-05,0.14400000000000002,0.40800000000000003,3.332283242107846e-05,3.855389410306826e-05,0.196,0.372
60,4.751514518571726e-05,1.4633798612986641e-05,0.136,0.36,2.9519456254380854e-05,3.846050364524706e-05,0.192,0.364
70,4.611681752463699e-05,1.3566307341942876e-05,0.14400000000000002,0.34800000000000003,2.9307787870883723e-05,3.8797725108630015e-05,0.196,0.36
80,4.917770165988137e-05,1.3730712285043275e-05,0.152,0.352,3.2520918040363815e-05,3.8165671656906394e-05,0.2,0.41600000000000004
90,4.6614464775972955e-05,1.5125477968501932e-05,0.168,0.352,3.3310621428847296e-05,3.7836007106407e-05,0.196,0.36
100,4.8052217135650104e-05,1.469505408177339e-05,0.16,0.40800000000000003,3.2031341650994624e-05,3.923061718152204e-05,0.2,0.392
110,4.634001888476682e-05,1.4677308014441532e-05,0.07200000000000001,0.41200000000000003,3.3302724415864725e-05,3.991357580791118e-05,0.192,0.368
120,4.331038483229884e-05,1.556106496003222e-05,0.076,0.392,3.159224452887961e-05,3.7926080887125776e-05,0.20400000000000001,0.376
130,4.465580173116114e-05,1.4842649886304596e-05,0.14400000000000002,0.368,3.364358448555649e-05,3.7701828266460494e-05,0.20400000000000001,0.364
140,4.2983508098100274e-05,1.3988615929555448e-05,0.07200000000000001,0.40800000000000003,3.68578342995949e-05,3.770681741414324e-05,0.20400000000000001,0.364
150,4.55586471137652e-05,1.4341620213966223e-05,0.07200000000000001,0.34800000000000003,3.253004404254409e-05,3.7413957521496075e-05,0.22,0.372
160,4.779874917937006e-05,1.5181410590254686e-05,0.14400000000000002,0.41200000000000003,3.380732062534459e-05,3.706878383953848e-05,0.20400000000000001,0.372
170,4.7321854052417325e-05,1.4742023084237566e-05,0.14400000000000002,0.4,3.3062709061584434e-05,3.552072994498541e-05,0.196,0.384
180,4.454357085062728e-05,1.4655987248387949e-05,0.07200000000000001,0.41600000000000004,3.281396831776355e-05,3.9147632518636666e-05,0.196,0.368
190,4.316644863788988e-05,1.4792529413571342e-05,0.07200000000000001,0.34800000000000003,3.440349221730423e-05,3.5034251459605366e-05,0.2,0.41200000000000003
200,4.670150592925728e-05,1.520184017966558e-05,0.07200000000000001,0.404,3.252988910441869e-05,3.605095970517927e-05,0.2,0.36
210,4.3322774492496194e-05,1.6631550079130853e-05,0.136,0.41200000000000003,3.4807274594258885e-05,3.8840537641481114e-05,0.20800000000000002,0.376
220,4.9299751070172707e-05,1.5266258039030382e-05,0.136,0.356,3.087388109661935e-05,3.766401561274022e-05,0.2,0.384
230,4.643000784936737e-05,1.4733717770902787e-05,0.07200000000000001,0.4,3.140997528258269e-05,3.8244446500298345e-05,0.20400000000000001,0.36
240,4.428621308161366e-05,1.4646621520973685e-05,0.076,0.384,3.3445763964382684e-05,3.5999139033329966e-05,0.196,0.38
250,4.925262721285452e-05,1.5119672494219132e-05,0.148,0.41200000000000003,3.548459400432282e-05,3.8135901106894126e-05,0.2,0.368
260,4.361660664784136e-05,1.4557456917874504e-05,0.07200000000000001,0.4,3.226901333921263e-05,3.7461498689029496e-05,0.188,0.36
270,4.4560082579438825e-05,1.5172831650127812e-05,0.128,0.352,3.311199033569066e-05,3.6291637652663956e-05,0.188,0.36
280,4.579141813827182e-05,1.3694390854615183e-05,0.07200000000000001,0.41200000000000003,3.180669796212816e-05,3.4316641488862424e-05,0.20800000000000002,0.376
290,4.5427126350954504e-05,1.537321056377525e-05,0.14400000000000002,0.376,3.625734499943797e-05,3.700684118418433e-05,0.196,0.396
300,4.642293079503421e-05,1.4675786068926684e-05,0.14400000000000002,0.41200000000000003,3.365017222232618e-05,3.50967809872223e-05,0.188,0.364
310,4.9582767147089696e-05,1.5760853800806024e-05,0.07200000000000001,0.40800000000000003,3.319230904553444e-05,3.758329712161602e-05,0.2,0.376
320,4.6995982905735616e-05,1.6166261704444144e-05,0.136,0.364,3.362247085311052e-05,3.7855054708986415e-05,0.196,0.364
330,4.883603099930649e-05,1.659305906239409e-05,0.14400000000000002,0.404,3.346235844777279e-05,3.671862529099605e-05,0.2,0.372
340,4.779062277250035e-05,1.5252941085382002e-05,0.07200000000000001,0.34800000000000003,3.368464197737977e-05,3.794757738408745e-05,0.192,0.372
350,4.8449325375123786e-05,1.573822789180536e-05,0.14400000000000002,0.40800000000000003,3.2589253115161754e-05,3.729425703690954e-05,0.212,0.38
360,4.763950524214854e-05,1.7978518913402207e-05,0.148,0.41600000000000004,3.212027465412265e-05,3.848300435785662e-05,0.212,0.364
370,4.6910409396801056e-05,1.5383922088488326e-05,0.152,0.41600000000000004,3.366201724549571e-05,3.8902601942826416e-05,0.22,0.38
380,4.574390246002314e-05,1.5071041455187417e-05,0.14400000000000002,0.38,3.467360705428188e-05,3.629159709691323e-05,0.196,0.396
390,4.6547651315330784e-05,1.663529656472084e-05,0.07200000000000001,0.34800000000000003,3.4542820612657954e-05,3.863780078787655e-05,0.212,0.388
400,4.61235411081416e-05,1.6707688559370973e-05,0.148,0.41600000000000004,3.3602820780022894e-05,3.7365140242296196e-05,0.22,0.4
410,5.087939985388168e-05,1.6509377823902617e-05,0.14400000000000002,0.368,3.2053760365237014e-05,4.100450676644359e-05,0.196,0.38
420,4.530440935490813e-05,1.6423162751295742e-05,0.14400000000000002,0.41600000000000004,3.2085829697291356e-05,3.845285104290676e-05,0.192,0.364
430,4.59512787805471e-05,1.65829994902659e-05,0.08,0.41600000000000004,3.363891033066379e-05,4.0007271359100675e-05,0.196,0.404
440,4.408536339173337e-05,1.6526393613922073e-05,0.148,0.388,3.587076137209038e-05,3.799434545234331e-05,0.196,0.38
450,4.930752949564212e-05,1.6611260642304927e-05,0.07200000000000001,0.396,3.254856953035891e-05,3.6946006673467045e-05,0.2,0.384
460,4.707243111469941e-05,1.7092808584092286e-05,0.152,0.404,3.1427871096321224e-05,3.828518328815196e-05,0.2,0.41200000000000003
470,4.203382782211284e-05,1.5717114982075753e-05,0.08,0.404,3.3747793355929794e-05,3.788221226064745e-05,0.196,0.4
480,4.675346794778932e-05,1.6260991670523378e-05,0.14400000000000002,0.38,3.3342362609339406e-05,3.715946855894112e-05,0.192,0.392
490,4.358033922967244e-05,1.6046654258310677e-05,0.148,0.36,3.418038040740069e-05,3.418678680361108e-05,0.188,0.36
500,4.730413385712088e-05,1.6404261278440212e-05,0.148,0.40800000000000003,3.313284894080423e-05,3.5955354778525396e-05,0.22,0.404
510,4.587844345978586e-05,1.5865566840733648e-05,0.148,0.40800000000000003,3.207268777000556e-05,4.018277787529912e-05,0.2,0.372
520,4.542268863235896e-05,1.7212619402457375e-05,0.148,0.36,3.09564055127629e-05,3.866782660796427e-05,0.212,0.364
530,4.4824363231799005e-05,1.8441972162122395e-05,0.07200000000000001,0.404,3.104310580833836e-05,3.8519894877670285e-05,0.196,0.372
540,4.771057239874504e-05,1.572233397005195e-05,0.076,0.41200000000000003,3.543208031246659e-05,3.807358830035811e-05,0.196,0.364
550,4.79002843985653e-05,1.6855548165532104e-05,0.14400000000000002,0.41600000000000004,3.163402269376718e-05,4.0010357224294746e-05,0.20400000000000001,0.38
560,4.62435746570187e-05,1.5587484970233648e-05,0.14400000000000002,0.41200000000000003,3.28017994440668e-05,3.7815191713187625e-05,0.22,0.404
570,4.651833599700679e-05,1.756781671395512e-05,0.14400000000000002,0.4,3.3247290520768855e-05,3.790811510966334e-05,0.196,0.376
580,4.735983056176756e-05,1.7537413925089356e-05,0.148,0.41600000000000004,3.452525308914385e-05,3.843372041142436e-05,0.2,0.384
590,4.620094783031001e-05,1.695667234598877e-05,0.08,0.40800000000000003,3.349384576629934e-05,3.7896592567413646e-05,0.188,0.368
600,4.8556731241666056e-05,1.659478988914268e-05,0.14400000000000002,0.34800000000000003,3.46783183724847e-05,3.8434374028943835e-05,0.216,0.392
610,4.385545454239764e-05,1.6060743143947965e-05,0.076,0.41600000000000004,3.2628957786365464e-05,3.871764585669284e-05,0.196,0.384
620,4.813418354005245e-05,1.6881629157244765e-05,0.14400000000000002,0.41600000000000004,3.0911331517494076e-05,3.8797220949654204e-05,0.196,0.38
630,4.7741147658208796e-05,1.6868527787538895e-05,0.08,0.404,3.0169789561727965e-05,3.664048397902308e-05,0.196,0.372
640,5.0138485096264956e-05,1.6114307895185075e-05,0.14400000000000002,0.352,3.112306607112469e-05,3.762006878624395e-05,0.188,0.376
650,4.933480703823824e-05,1.5576603298840912e-05,0.14400000000000002,0.41200000000000003,3.246833613690546e-05,3.77504868729092e-05,0.196,0.368
660,4.437452259413445e-05,1.6053168591616955e-05,0.148,0.4,3.253609688544768e-05,3.774237471599724e-05,0.196,0.36
670,4.782672055347092e-05,1.6981976881658816e-05,0.148,0.40800000000000003,3.336073781756245e-05,3.77126903631852e-05,0.196,0.404
680,4.7716728521344286e-05,1.6783858278633428e-05,0.14400000000000002,0.404,3.0097429395495956e-05,3.77036721929393e-05,0.212,0.368
690,4.860814172035754e-05,1.6554167131894937e-05,0.076,0.34800000000000003,3.175080572867629e-05,3.792383076272406e-05,0.196,0.372
700,4.3999411886197434e-05,1.636134678494067e-05,0.076,0.388,3.335088556258401e-05,3.7832111634955626e-05,0.188,0.372
710,4.363427476782161e-05,1.6683013738627863e-05,0.08,0.41600000000000004,3.127494379784468e-05,3.958796979056237e-05,0.20400000000000001,0.404
720,4.3768007897128655e-05,1.532717841599683e-05,0.148,0.404,3.224154364279898e-05,3.91314502675104e-05,0.188,0.364
730,4.5632934035813435e-05,1.557369385087213e-05,0.148,0.404,3.1159546366483405e-05,3.8757170919412685e-05,0.196,0.372
740,4.6840590164759014e-05,1.5719190927225605e-05,0.14400000000000002,0.41600000000000004,3.368345381607228e-05,3.993936588322789e-05,0.196,0.396
750,4.758684062797821e-05,1.8684197506427912e-05,0.148,0.41200000000000003,3.157232943917057e-05,4.113674334583258e-05,0.192,0.364
760,4.6221545858252835e-05,1.943612813860839e-05,0.136,0.41600000000000004,3.4180603882833036e-05,3.948023752453687e-05,0.196,0.376
770,4.7505711308020446e-05,1.6027452082405447e-05,0.148,0.4,3.3485942704613606e-05,3.845752267484031e-05,0.188,0.372
780,4.541326182682547e-05,1.6279579826725768e-05,0.14,0.41600000000000004,3.199596123562182e-05,3.947289201388316e-05,0.196,0.404
790,4.620756445006777e-05,1.653164038602439e-05,0.07200000000000001,0.41200000000000003,2.9422688638810245e-05,3.915178936147297e-05,0.196,0.364
800,4.778847678130958e-05,1.666148826744799e-05,0.14400000000000002,0.34800000000000003,3.261809133382014e-05,3.962780964349209e-05,0.22,0.364
810,4.5717834450823065e-05,1.5799095089796255e-05,0.076,0.34800000000000003,3.083579060195081e-05,3.896068493715661e-05,0.196,0.396
